2015/06/23:14:24:17:359 	 index:0 
2015/06/23:14:24:17:440 	 index:1 
2015/06/23:14:24:17:465 	 index:2 
2015/06/23:14:24:18:356 	 index:3 
2015/06/23:14:24:18:361 	 index:4 
2015/06/23:14:24:18:446 	 index:5 
2015/06/23:14:24:18:447 	 index:6 
2015/06/23:14:24:18:447 	 index:7 
2015/06/23:14:24:18:448 	 index:8 
2015/06/23:14:24:18:448 	 index:9 
2015/06/23:14:24:18:451 	 index:10 
2015/06/23:14:24:18:451 	 index:11 
2015/06/23:14:24:18:453 	 index:12 
2015/06/23:14:24:18:453 	 index:13 
2015/06/23:14:24:18:454 	 index:14 
2015/06/23:14:24:18:455 	 index:15 
2015/06/23:14:24:18:456 	 index:16 
2015/06/23:14:24:18:458 	 index:17 
2015/06/23:14:24:18:458 	 index:18 
2015/06/23:14:24:18:547 	 index:19 
2015/06/23:14:24:18:547 	 index:20 
2015/06/23:14:24:18:549 	 index:21 
2015/06/23:14:24:18:550 	 index:22 
2015/06/23:14:24:18:551 	 index:23 
2015/06/23:14:24:18:551 	 index:24 
2015/06/23:14:24:18:552 	 index:25 
2015/06/23:14:24:18:553 	 index:26 
2015/06/23:14:24:18:553 	 index:27 
2015/06/23:14:24:18:554 	 index:28 
2015/06/23:14:24:18:556 	 index:29 
2015/06/23:14:24:18:556 	 index:30 
2015/06/23:14:24:18:557 	 index:31 
2015/06/23:14:24:18:557 	 index:32 
2015/06/23:14:24:18:558 	 index:33 
2015/06/23:14:24:18:561 	 index:34 
2015/06/23:14:24:18:562 	 index:35 
2015/06/23:14:24:18:564 	 index:36 
2015/06/23:14:24:18:564 	 index:37 
2015/06/23:14:24:18:565 	 index:38 
2015/06/23:14:24:18:565 	 index:39 
2015/06/23:14:24:18:566 	 index:40 
2015/06/23:14:24:18:566 	 index:41 
2015/06/23:14:24:18:567 	 index:42 
2015/06/23:14:24:18:567 	 index:43 
2015/06/23:14:24:18:568 	 index:44 
2015/06/23:14:24:18:569 	 index:45 
2015/06/23:14:24:18:569 	 index:46 
2015/06/23:14:24:18:570 	 index:47 
2015/06/23:14:24:18:570 	 index:48 
2015/06/23:14:24:18:571 	 index:49 
2015/06/23:14:24:18:572 	 index:50 
2015/06/23:14:24:18:572 	 index:51 
2015/06/23:14:24:18:573 	 index:52 
2015/06/23:14:24:18:574 	 index:53 
2015/06/23:14:24:18:575 	 index:54 
2015/06/23:14:24:18:576 	 index:55 
2015/06/23:14:24:18:577 	 index:56 
2015/06/23:14:24:18:577 	 index:57 
2015/06/23:14:24:18:578 	 index:58 
2015/06/23:14:24:18:578 	 index:59 
2015/06/23:14:24:18:580 	 index:60 
2015/06/23:14:24:18:581 	 index:61 
2015/06/23:14:24:18:582 	 index:62 
2015/06/23:14:24:18:582 	 index:63 
2015/06/23:14:24:18:582 	 index:64 
2015/06/23:14:24:18:583 	 index:65 
2015/06/23:14:24:18:584 	 index:66 
2015/06/23:14:24:18:584 	 index:67 
2015/06/23:14:24:18:585 	 index:68 
